code,name,note,note_flags,is_etf,closing_price,fin_lots_raw,short_lots_raw,fin_lots_used,fin_shares_used,fin_value_used,fin_value_precise,numerator_contribution,numerator_contribution_precise,formula_text,cumulative_pct
0050,元大台灣50,,,True,62.55,9238,1683,9238,9238000,577836900.0,577836900.00,577836900.0,577836900.00,fin_value = fin_lots_used * SHARE_PER_LOT * closing_price,139.30373
0051,元大中型100,,,True,91.0,4,0,4,4000,364000.0,364000.0,364000.0,364000.0,fin_value = fin_lots_used * SHARE_PER_LOT * closing_price,172.578164
0052,富邦科技,,,True,251.5,538,1,538,538000,135307000.0,135307000.0,135307000.0,135307000.0,fin_value = fin_lots_used * SHARE_PER_LOT * closing_price,164.305082
0053,元大電子,,,True,138.1,8,0,8,8000,1104800.0,1104800.0,1104800.0,1104800.0,fin_value = fin_lots_used * SHARE_PER_LOT * closing_price,172.571392
0055,元大MSCI金融,,,True,30.61,6,0,6,6000,183660.0,183660.00,183660.0,183660.00,fin_value = fin_lots_used * SHARE_PER_LOT * closing_price,172.578854
0056,元大高股息,,,True,36.55,5270,56,5270,5270000,192618500.0,192618500.00,192618500.0,192618500.00,fin_value = fin_lots_used * SHARE_PER_LOT * closing_price,160.209814
0057,富邦摩台,,,True,182.85,0,0,0,0,0.0,0,0.0,0,fin_value = fin_lots_used * SHARE_PER_LOT * closing_price,172.579583
0061,元大寶滬深,,,True,22.58,343,0,343,343000,7744940.0,7744940.00,7744940.0,7744940.00,fin_value = fin_lots_used * SHARE_PER_LOT * closing_price,172.431493
006203,元大MSCI台灣,X,X,True,113.4,0,0,0,0,0.0,0,0.0,0,fin_value = fin_lots_used * SHARE_PER_LOT * closing_price,172.579583
006204,永豐臺灣加權,X,X,True,138.5,0,0,0,0,0.0,0,0.0,0,fin_value = fin_lots_used * SHARE_PER_LOT * closing_price,172.579583
006205,富邦上証,,,True,38.83,564,1,564,564000,21900120.0,21900120.00,21900120.0,21900120.00,fin_value = fin_lots_used * SHARE_PER_LOT * closing_price,171.831889
006206,元大上證50,,,True,35.79,13,0,13,13000,465270.0,465270.00,465270.0,465270.00,fin_value = fin_lots_used * SHARE_PER_LOT * closing_price,172.57627
006207,復華滬深,,,True,29.96,20,0,20,20000,599200.0,599200.00,599200.0,599200.00,fin_value = fin_lots_used * SHARE_PER_LOT * closing_price,172.575618
006208,富邦台50,,,True,146.25,337,10,337,337000,49286250.0,49286250.00,49286250.0,49286250.00,fin_value = fin_lots_used * SHARE_PER_LOT * closing_price,170.097623
00631L,元大台灣50正2,,,True,335.4,4568,1744,4568,4568000,1532107200.0,1532107200.0,1532107200.0,1532107200.0,fin_value = fin_lots_used * SHARE_PER_LOT * closing_price,104.398908
00632R,元大台灣50反1,,,True,17.28,227541,3852,227541,227541000,3931908480.0,3931908480.00,3931908480.0,3931908480.00,fin_value = fin_lots_used * SHARE_PER_LOT * closing_price,67.044296
00633L,富邦上証正2,,,True,50.5,12510,2246,12510,12510000,631755000.0,631755000.0,631755000.0,631755000.0,fin_value = fin_lots_used * SHARE_PER_LOT * closing_price,136.7615
00634R,富邦上証反1,,,True,3.22,1144,135,1144,1144000,3683680.0,3683680.00,3683680.0,3683680.00,fin_value = fin_lots_used * SHARE_PER_LOT * closing_price,172.521034
00635U,期元大S&P黃金,,,True,43.03,8659,196,8659,8659000,372596770.0,372596770.00,372596770.0,372596770.00,fin_value = fin_lots_used * SHARE_PER_LOT * closing_price,149.327156
00636,國泰中國A50,,,True,26.37,254,1,254,254000,6697980.0,6697980.00,6697980.0,6697980.00,fin_value = fin_lots_used * SHARE_PER_LOT * closing_price,172.461083
00637L,元大滬深300正2,,,True,20.58,129759,15610,129759,129759000,2670440220.0,2670440220.00,2670440220.0,2670440220.00,fin_value = fin_lots_used * SHARE_PER_LOT * closing_price,81.931124
00638R,元大滬深300反1,,,True,6.78,1259,30,1259,1259000,8536020.0,8536020.00,8536020.0,8536020.00,fin_value = fin_lots_used * SHARE_PER_LOT * closing_price,172.415601
00639,富邦深100,,,True,14.95,1842,27,1842,1842000,27537900.0,27537900.00,27537900.0,27537900.00,fin_value = fin_lots_used * SHARE_PER_LOT * closing_price,171.552241
00640L,富邦日本正2,,,True,72.15,670,68,670,670000,48340500.0,48340500.00,48340500.0,48340500.00,fin_value = fin_lots_used * SHARE_PER_LOT * closing_price,170.240378
00641R,富邦日本反1,,,True,4.78,8156,314,8156,8156000,38985680.0,38985680.00,38985680.0,38985680.00,fin_value = fin_lots_used * SHARE_PER_LOT * closing_price,170.901036
00642U,期元大S&P石油,,,True,15.53,3231,71,3231,3231000,50177430.0,50177430.00,50177430.0,50177430.00,fin_value = fin_lots_used * SHARE_PER_LOT * closing_price,169.951857
