code,name,closing_price,financing_lots,short_lots,financing_shares,short_shares,financing_value,short_value,fin_to_short_ratio,fin_to_short_pct,financing_maint_pct
0050,元大台灣50,63.3,8743,1665,8743000,1665000,553431900.0,105394500.0,0.1904,19.04,0.20
0051,元大中型100,91.9,4,0,4000,0,367600.0,0.0,,,0.00
0052,富邦科技,254.85,535,1,535000,1000,136344750.0,254850.0,0.0019,0.19,0.05
0053,元大電子,140.0,8,0,8000,0,1120000.0,0.0,,,0.00
0055,元大MSCI金融,30.85,6,0,6000,0,185100.0,0.0,,,0.00
0056,元大高股息,36.95,4724,66,4724000,66000,174551800.0,2438700.0,0.014,1.40,0.06
0061,元大寶滬深,22.51,343,0,343000,0,7720930.0,0.0,,,0.00
006205,富邦上証,38.71,565,1,565000,1000,21871150.0,38710.0,0.0018,0.18,0.01
006206,元大上證50,35.66,13,0,13000,0,463580.0,0.0,,,0.00
006207,復華滬深,29.84,20,0,20000,0,596800.0,0.0,,,0.00
006208,富邦台50,148.4,339,10,339000,10000,50307600.0,1484000.0,0.0295,2.95,0.02
00631L,元大台灣50正2,344.75,4577,1745,4577000,1745000,1577920750.0,601588750.0,0.3813,38.13,0.56
00632R,元大台灣50反1,17.06,225395,3744,225395000,3744000,3845238700.0,63872640.0,0.0166,1.66,1.36
00633L,富邦上証正2,50.6,12488,2247,12488000,2247000,631892800.0,113698200.0,0.1799,17.99,0.22
00634R,富邦上証反1,3.21,1143,135,1143000,135000,3669030.0,433350.0,0.1181,11.81,0.00
00635U,期元大S&P黃金,43.05,8572,197,8572000,197000,369024600.0,8480850.0,0.023,2.30,0.13
00636,國泰中國A50,26.4,254,1,254000,1000,6705600.0,26400.0,0.0039,0.39,0.00
00637L,元大滬深300正2,20.63,128219,15384,128219000,15384000,2645157970.0,317371920.0,0.12,12.00,0.93
00638R,元大滬深300反1,6.76,1258,29,1258000,29000,8504080.0,196040.0,0.0231,2.31,0.00
00639,富邦深100,14.94,1843,27,1843000,27000,27534420.0,403380.0,0.0147,1.47,0.01
00640L,富邦日本正2,73.8,656,68,656000,68000,48412800.0,5018400.0,0.1037,10.37,0.02
00641R,富邦日本反1,4.73,8119,304,8119000,304000,38402870.0,1437920.0,0.0374,3.74,0.01
00642U,期元大S&P石油,15.58,3302,59,3302000,59000,51445160.0,919220.0,0.0179,1.79,0.02
